CURRENT_ALLOCATION,FISCAL_PERIOD_NAME,FUND_CATEGORY,FUND_NAME,LEDGER_NAME,PARENT_FUND
31.46,GW 2015/2016,Allocated,10330158611STO,gwmvc2016,10330158611STOAlloc
0,GW 2015/2016,Allocated,10330158611STOPostage,gwmvc2016,10330158611STOAlloc
565.52,GW 2015/2016,Allocated,10330158611Periodicals,gwmvc2016,10330158611Subscriptions
0,GW 2015/2016,Allocated,10330158611Replacement,gwmvc2016,10330158611Replacement
-127.48,GW 2015/2016,Allocated,10330158611EMBAsuballoc,gwnvc2016,10330158611General
0,GW 2015/2016,Allocated,10330158611Refrsuballoc,gwnvc2016,10330158611General
0,GW 2015/2016,Allocated,10330158611Staffsuballoc,gwnvc2016,10330158611General
4931.88,GW 2015/2016,Allocated,10330158611HRDXsuball,gwnvc2016,10330158611General
0,GW 2015/2016,Allocated,10330158611MISXsuballoc,gwnvc2016,10330158611General
0,GW 2015/2016,Allocated,10330158611Civilsuballoc,gwnvc2016,10330158611SEAS
0,GW 2015/2016,Allocated,10330158611EMGTsuballoc,gwnvc2016,10330158611SEAS
0,GW 2015/2016,Allocated,10330158611Mechsuballoc,gwnvc2016,10330158611SEAS
50,GW 2015/2016,Allocated,10330158611TCOMsuballoc,gwnvc2016,10330158611SEAS
28.95,GW 2015/2016,Allocated,10330158611EMBAfirm,gwnvc2016,10330158611General
480.08,GW 2015/2016,Allocated,10330158611HRDXfirm,gwnvc2016,10330158611General
184.48,GW 2015/2016,Allocated,10330158611MISXfirm,gwnvc2016,10330158611General
100,GW 2015/2016,Allocated,10330158611Refrfirm,gwnvc2016,10330158611General
287.48,GW 2015/2016,Allocated,10330158611Stafffirm,gwnvc2016,10330158611General
9.71,GW 2015/2016,Allocated,10330158611Civilfirm,gwnvc2016,10330158611SEAS
11.16,GW 2015/2016,Allocated,10330158611Electricalfirm,gwnvc2016,10330158611SEAS
384.92,GW 2015/2016,Allocated,10330158611EMGTfirm,gwnvc2016,10330158611SEAS
200,GW 2015/2016,Allocated,10330158611Mechanicalfirm,gwnvc2016,10330158611SEAS
379.16,GW 2015/2016,Allocated,10330158611TCOMfirm,gwnvc2016,10330158611SEAS
7991,GW 2015/2016,Allocated,10330152232Electronics,gwmvc2016,10330158611Subscriptions
2090.83,GW 2015/2016,Allocated,10330158611Firms,gwmvc2016,10330158611Monographs
13054.19,GW 2015/2016,Allocated,10330158611WomLead/intDes,gwgel2016103301 Collections,10330158611WomLead/intDes
12500,GW 2015/2016,Allocated,10330152211ArchivesSpaceM,gwgel2016103301 Collections,10330152211ArchivesSpaceM
3847.72,GW 2015/2016,Allocated,10320658611Postage,gwgel2016103206 Gelman Endowment,10320658611Global Resour
2941.55,GW 2015/2016,Allocated,10330158611DDAGshedAppv,gwgel2016103301 Collections,10330158611Approvals/DDA
8648.97,GW 2015/2016,Allocated,10330158611DDAEngxAppv,gwgel2016103301 Collections,10330158611Approvals/DDA
441.69,GW 2015/2016,Allocated,10330158611GshedSTLAppv,gwgel2016103301 Collections,10330158611Approvals/DDA
